Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",2.936,3.228,3.520,3.812,4.104,4.396,4.688,4.980,5.272,5.564,5.856,6.148,6.440,6.732,7.600,7.858,8.116,8.373,8.631,8.888,9.181,9.473,9.804,10.13,10.47,10.48,10.50,10.52,10.54,10.62,10.71,10.71,10.71
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",4.104,4.512,4.920,5.328,5.737,6.145,6.553,6.961,7.369,7.777,8.185,8.593,9.001,9.410,10.62,10.98,11.34,11.70,12.06,12.42,12.83,13.24,13.31,13.38,13.47,13.17,13.20,13.22,13.24,13.35,13.45,13.45,13.45
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",4.273,4.698,5.123,5.548,5.973,6.397,6.822,7.247,7.672,8.097,8.522,8.947,9.372,9.797,11.06,11.44,11.81,12.18,12.56,12.93,13.36,13.79,13.59,13.41,13.24,12.71,12.74,12.76,12.78,12.88,12.98,12.98,12.98
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",2.997,3.295,3.593,3.891,4.189,4.487,4.785,5.083,5.382,5.680,5.978,6.276,6.574,6.872,7.758,8.021,8.284,8.546,8.809,9.072,9.371,9.669,9.838,10.01,10.19,10.07,10.09,10.10,10.12,10.20,10.28,10.28,10.28
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",3.203,3.521,3.840,4.158,4.477,4.795,5.114,5.432,5.751,6.069,6.388,6.706,7.025,7.343,8.290,8.571,8.852,9.133,9.414,9.695,10.01,10.33,10.76,11.19,11.62,11.70,11.72,11.74,11.76,11.86,11.95,11.95,11.95
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",2.973,3.269,3.564,3.860,4.155,4.451,4.747,5.042,5.338,5.633,5.929,6.225,6.520,6.816,7.695,7.956,8.216,8.477,8.738,8.999,9.295,9.591,9.624,9.665,9.714,9.486,9.502,9.519,9.536,9.611,9.687,9.687,9.687
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",1.151,1.265,1.380,1.494,1.609,1.723,1.837,1.952,2.066,2.181,2.295,2.410,2.524,2.639,2.979,3.080,3.181,3.282,3.383,3.484,3.598,3.713,4.483,5.237,5.974,6.505,6.517,6.528,6.539,6.591,6.643,6.643,6.643
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",2.976,3.272,3.568,3.864,4.160,4.456,4.752,5.047,5.343,5.639,5.935,6.231,6.527,6.823,7.703,7.964,8.225,8.486,8.747,9.008,9.304,9.601,10.01,10.41,10.81,10.89,10.91,10.93,10.95,11.04,11.12,11.12,11.12
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",2.880,3.166,3.452,3.739,4.025,4.311,4.598,4.884,5.170,5.457,5.743,6.029,6.316,6.602,7.453,7.706,7.958,8.211,8.464,8.716,9.003,9.290,9.408,9.533,9.662,9.513,9.529,9.546,9.562,9.638,9.714,9.714,9.714
"Albania","Europe","ALB","National","ALBt","Total",11.58,11.78,10.66,10.07,9.993,10.06,10.16,10.37,10.55,10.63,10.70,10.92,11.02,11.38,11.50,12.23,12.55,12.97,13.18,13.36,14.17,15.00,15.77,16.00,16.24,15.91,15.45,15.33,15.11,15.18,14.76,14.57,14.49
"Albania","Europe","ALB","Subnat","ALBr201"," Berat",11.63,11.83,10.70,10.12,10.04,10.10,10.20,10.41,10.59,10.68,10.75,10.96,11.07,11.42,11.55,12.29,12.67,13.16,13.44,13.69,14.43,15.17,15.85,15.98,16.13,15.71,15.16,14.95,14.74,14.81,14.40,14.22,14.13
"Albania","Europe","ALB","Subnat","ALBr202"," Diber",10.66,10.84,9.810,9.272,9.198,9.259,9.353,9.540,9.709,9.788,9.849,10.05,10.14,10.47,10.59,11.26,11.30,11.42,11.34,11.25,11.97,12.70,13.37,13.60,13.84,13.58,13.22,13.14,12.95,13.01,12.65,12.49,12.42
"Albania","Europe","ALB","Subnat","ALBr203"," Durres",10.73,10.92,9.876,9.334,9.259,9.321,9.416,9.604,9.774,9.853,9.915,10.12,10.21,10.54,10.66,11.34,11.71,12.17,12.43,12.68,13.56,14.47,15.32,15.66,16.01,15.80,15.44,15.42,15.20,15.27,14.85,14.66,14.57
"Albania","Europe","ALB","Subnat","ALBr204"," Elbasan",11.42,11.62,10.52,9.938,9.859,9.924,10.03,10.23,10.41,10.49,10.56,10.77,10.87,11.22,11.35,12.07,12.19,12.40,12.40,12.39,13.36,14.36,15.32,15.77,16.24,16.13,15.86,15.93,15.71,15.78,15.35,15.15,15.06
"Albania","Europe","ALB","Subnat","ALBr205"," Fier",11.71,11.92,10.78,10.19,10.11,10.17,10.28,10.48,10.67,10.75,10.82,11.04,11.15,11.50,11.63,12.37,12.57,12.86,12.93,12.98,13.68,14.38,15.01,15.13,15.27,14.86,14.34,14.14,13.94,14.00,13.62,13.44,13.36
"Albania","Europe","ALB","Subnat","ALBr206"," Gjirokaster",13.11,13.34,12.07,11.41,11.32,11.39,11.51,11.74,11.95,12.04,12.12,12.36,12.48,12.88,13.02,13.86,13.98,14.22,14.21,14.18,14.87,15.56,16.17,16.22,16.28,15.78,15.15,14.87,14.66,14.72,14.32,14.14,14.06
"Albania","Europe","ALB","Subnat","ALBr207"," Korce",11.71,11.92,10.78,10.19,10.11,10.17,10.28,10.48,10.67,10.76,10.82,11.04,11.15,11.51,11.63,12.37,12.65,13.03,13.18,13.32,14.13,14.96,15.72,15.95,16.20,15.87,15.41,15.29,15.07,15.14,14.72,14.54,14.45
"Albania","Europe","ALB","Subnat","ALBr208"," Kukes",9.837,10.01,9.054,8.557,8.489,8.545,8.632,8.805,8.961,9.033,9.090,9.274,9.362,9.664,9.770,10.39,10.89,11.49,11.89,12.28,12.66,13.03,13.31,13.13,12.95,12.33,11.63,11.20,11.04,11.09,10.79,10.65,10.59
