Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",8.044,7.944,7.814,7.452,7.092,7.298,7.292,7.199,7.113,7.023,6.954,6.889,7.218,7.290,7.282,7.319,7.364,7.547,7.517,7.577,7.604,7.630,7.684,7.716,7.706,7.670,7.660,7.661,7.641,7.656,7.594,7.336,7.197
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",8.328,8.224,8.089,7.715,7.342,7.555,7.549,7.453,7.363,7.271,7.199,7.132,7.473,7.547,7.539,7.577,7.623,7.813,7.782,7.845,7.872,7.899,7.943,7.963,7.940,7.891,7.881,7.882,7.861,7.876,7.813,7.547,7.404
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",7.859,7.760,7.634,7.280,6.928,7.129,7.124,7.033,6.949,6.861,6.794,6.730,7.052,7.122,7.114,7.150,7.194,7.373,7.344,7.403,7.429,7.454,7.479,7.481,7.443,7.381,7.372,7.372,7.353,7.367,7.308,7.059,6.926
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",7.878,7.779,7.652,7.297,6.945,7.147,7.141,7.050,6.965,6.878,6.810,6.746,7.069,7.139,7.131,7.167,7.211,7.391,7.361,7.421,7.447,7.472,7.488,7.483,7.437,7.366,7.357,7.358,7.339,7.353,7.294,7.045,6.912
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",7.909,7.810,7.683,7.327,6.973,7.175,7.170,7.079,6.993,6.905,6.837,6.773,7.097,7.168,7.160,7.196,7.240,7.420,7.391,7.450,7.477,7.502,7.632,7.740,7.805,7.842,7.833,7.833,7.813,7.828,7.765,7.501,7.359
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",8.020,7.920,7.790,7.429,7.070,7.276,7.270,7.178,7.091,7.002,6.933,6.868,7.197,7.268,7.260,7.297,7.342,7.524,7.494,7.555,7.581,7.607,7.628,7.627,7.585,7.518,7.508,7.509,7.490,7.504,7.444,7.190,7.054
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",7.977,7.877,7.749,7.390,7.033,7.237,7.231,7.140,7.053,6.965,6.896,6.831,7.158,7.229,7.221,7.258,7.303,7.484,7.454,7.514,7.541,7.567,7.629,7.669,7.667,7.639,7.630,7.630,7.611,7.625,7.564,7.307,7.168
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",8.184,8.081,7.949,7.581,7.215,7.424,7.418,7.324,7.236,7.145,7.075,7.008,7.344,7.416,7.408,7.446,7.492,7.678,7.647,7.709,7.736,7.762,7.761,7.737,7.672,7.581,7.571,7.572,7.552,7.567,7.506,7.251,7.113
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",8.025,7.925,7.795,7.434,7.075,7.281,7.275,7.183,7.096,7.007,6.938,6.873,7.201,7.273,7.265,7.302,7.347,7.529,7.499,7.560,7.586,7.612,7.646,7.657,7.628,7.572,7.563,7.563,7.544,7.558,7.498,7.242,7.105
"Albania","Europe","ALB","National","ALBt","Total",8.510,8.161,8.064,8.188,8.282,8.425,8.520,8.411,8.508,8.630,8.710,8.802,8.842,8.901,8.956,9.012,9.084,9.148,9.207,9.226,9.273,9.311,9.319,9.355,9.367,9.394,9.432,9.457,9.496,9.509,9.478,9.575,9.635
