Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",45.97,46.66,47.60,51.47,51.50,52.54,53.24,53.63,52.94,54.85,55.30,55.80,56.45,57.34,57.94,58.36,58.68,59.11,59.85,60.36,60.85,61.42,61.92,62.42,62.55,62.66,63.14,63.02,63.08,63.57,62.58,61.98,62.88
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",46.97,47.69,48.64,52.59,52.62,53.70,54.41,54.81,54.10,56.05,56.51,57.02,57.69,58.60,59.21,59.64,59.97,60.41,61.16,61.69,62.18,62.76,63.41,64.05,64.30,64.54,65.03,64.91,64.97,65.47,64.45,63.84,64.77
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",44.40,45.08,45.98,49.72,49.74,50.76,51.43,51.81,51.14,52.98,53.42,53.90,54.53,55.39,55.97,56.38,56.69,57.10,57.82,58.31,58.78,59.33,60.49,61.63,62.38,63.10,63.58,63.46,63.52,64.01,63.01,62.42,63.32
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",49.44,50.19,51.19,55.36,55.39,56.52,57.27,57.69,56.95,58.99,59.48,60.02,60.72,61.68,62.32,62.77,63.12,63.58,64.38,64.93,65.45,66.06,65.22,64.41,63.26,62.14,62.62,62.50,62.56,63.04,62.06,61.47,62.36
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",44.39,45.06,45.96,49.70,49.72,50.74,51.41,51.79,51.12,52.96,53.40,53.88,54.51,55.37,55.95,56.35,56.67,57.08,57.79,58.29,58.76,59.31,60.06,60.79,61.16,61.51,61.98,61.86,61.92,62.40,61.43,60.84,61.72
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",46.27,46.97,47.91,51.80,51.83,52.89,53.59,53.99,53.29,55.21,55.66,56.16,56.82,57.72,58.32,58.74,59.07,59.50,60.24,60.76,61.25,61.82,61.83,61.84,61.50,61.16,61.63,61.51,61.57,62.04,61.08,60.50,61.38
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",48.84,49.58,50.57,54.68,54.72,55.83,56.57,56.99,56.25,58.28,58.76,59.29,59.98,60.93,61.57,62.01,62.35,62.81,63.60,64.14,64.66,65.26,64.72,64.20,63.33,62.49,62.96,62.84,62.91,63.39,62.40,61.81,62.71
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",44.21,44.88,45.77,49.50,49.52,50.53,51.20,51.58,50.92,52.75,53.18,53.66,54.29,55.15,55.73,56.13,56.44,56.85,57.56,58.05,58.52,59.07,60.83,62.56,63.88,65.14,65.63,65.51,65.58,66.08,65.05,64.43,65.37
"Afghanistan","Asia/Pacific","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",43.99,44.66,45.55,49.25,49.28,50.28,50.95,51.33,50.67,52.49,52.92,53.40,54.03,54.88,55.45,55.85,56.16,56.57,57.28,57.77,58.23,58.78,59.81,60.81,61.45,62.05,62.52,62.40,62.47,62.95,61.97,61.38,62.27
"Albania","Europe","ALB","National","ALBt","Total",73.14,73.38,73.72,73.94,74.13,74.36,74.59,73.90,74.99,75.18,75.40,75.64,75.89,76.14,76.38,76.62,76.82,77.55,77.65,77.78,77.94,78.09,78.06,78.12,78.41,78.64,78.86,79.05,79.18,79.28,76.99,76.46,76.83
