Scenario;Area;Period;Sex;Years
SSP1;Afghanistan;2020-2025;Male;60.6
SSP1;Afghanistan;2025-2030;Male;63.3
SSP1;Afghanistan;2030-2035;Male;64.8
SSP1;Afghanistan;2035-2040;Male;66.2
SSP1;Afghanistan;2040-2045;Male;67.5
SSP1;Afghanistan;2045-2050;Male;68.8
SSP1;Afghanistan;2050-2055;Male;70.1
SSP1;Afghanistan;2055-2060;Male;71.3
SSP1;Afghanistan;2060-2065;Male;72.6
SSP1;Afghanistan;2065-2070;Male;73.8
SSP1;Afghanistan;2070-2075;Male;75.1
SSP1;Afghanistan;2075-2080;Male;76.4
SSP1;Afghanistan;2080-2085;Male;77.6
SSP1;Afghanistan;2085-2090;Male;78.9
SSP1;Afghanistan;2090-2095;Male;80.1
SSP1;Afghanistan;2095-2100;Male;81.4
SSP1;Albania;2020-2025;Male;75.8
SSP1;Albania;2025-2030;Male;79.8
SSP1;Albania;2030-2035;Male;81.3
SSP1;Albania;2035-2040;Male;82.8
SSP1;Albania;2040-2045;Male;84.2
SSP1;Albania;2045-2050;Male;85.7
SSP1;Albania;2050-2055;Male;87.2
SSP1;Albania;2055-2060;Male;88.7
SSP1;Albania;2060-2065;Male;90.2
SSP1;Albania;2065-2070;Male;91.6
SSP1;Albania;2070-2075;Male;93.1
SSP1;Albania;2075-2080;Male;94.5
SSP1;Albania;2080-2085;Male;95.9
SSP1;Albania;2085-2090;Male;97.2
SSP1;Albania;2090-2095;Male;98.4
SSP1;Albania;2095-2100;Male;99.5
SSP1;Algeria;2020-2025;Male;75.7
SSP1;Algeria;2025-2030;Male;77.7
SSP1;Algeria;2030-2035;Male;79.1
SSP1;Algeria;2035-2040;Male;80.5
SSP1;Algeria;2040-2045;Male;81.9
SSP1;Algeria;2045-2050;Male;83.3
SSP1;Algeria;2050-2055;Male;84.7
SSP1;Algeria;2055-2060;Male;86.1
SSP1;Algeria;2060-2065;Male;87.5
SSP1;Algeria;2065-2070;Male;88.9
SSP1;Algeria;2070-2075;Male;90.3
SSP1;Algeria;2075-2080;Male;91.7
SSP1;Algeria;2080-2085;Male;93
SSP1;Algeria;2085-2090;Male;94.3
SSP1;Algeria;2090-2095;Male;95.6
SSP1;Algeria;2095-2100;Male;96.8
SSP1;Angola;2020-2025;Male;60.2
SSP1;Angola;2025-2030;Male;62.2
SSP1;Angola;2030-2035;Male;63.7
SSP1;Angola;2035-2040;Male;65.2
SSP1;Angola;2040-2045;Male;66.6
SSP1;Angola;2045-2050;Male;68
SSP1;Angola;2050-2055;Male;69.4
SSP1;Angola;2055-2060;Male;70.8
SSP1;Angola;2060-2065;Male;72.1
SSP1;Angola;2065-2070;Male;73.5
SSP1;Angola;2070-2075;Male;74.8
SSP1;Angola;2075-2080;Male;76.2
SSP1;Angola;2080-2085;Male;77.4
SSP1;Angola;2085-2090;Male;78.8
SSP1;Angola;2090-2095;Male;80
SSP1;Angola;2095-2100;Male;81.3
SSP1;Antigua and Barbuda;2020-2025;Male;76.7
SSP1;Antigua and Barbuda;2025-2030;Male;78
SSP1;Antigua and Barbuda;2030-2035;Male;79.2
SSP1;Antigua and Barbuda;2035-2040;Male;80.3
SSP1;Antigua and Barbuda;2040-2045;Male;81.5
SSP1;Antigua and Barbuda;2045-2050;Male;82.7
SSP1;Antigua and Barbuda;2050-2055;Male;83.8
SSP1;Antigua and Barbuda;2055-2060;Male;85
SSP1;Antigua and Barbuda;2060-2065;Male;86.2
SSP1;Antigua and Barbuda;2065-2070;Male;87.4
SSP1;Antigua and Barbuda;2070-2075;Male;88.5
SSP1;Antigua and Barbuda;2075-2080;Male;89.7
SSP1;Antigua and Barbuda;2080-2085;Male;90.9
SSP1;Antigua and Barbuda;2085-2090;Male;92.1
SSP1;Antigua and Barbuda;2090-2095;Male;93.2
SSP1;Antigua and Barbuda;2095-2100;Male;94.3
SSP1;Argentina;2020-2025;Male;74
SSP1;Argentina;2025-2030;Male;76.8
SSP1;Argentina;2030-2035;Male;78.4
SSP1;Argentina;2035-2040;Male;80
SSP1;Argentina;2040-2045;Male;81.6
SSP1;Argentina;2045-2050;Male;83.2
SSP1;Argentina;2050-2055;Male;84.9
SSP1;Argentina;2055-2060;Male;86.5
SSP1;Argentina;2060-2065;Male;88.1
SSP1;Argentina;2065-2070;Male;89.7
SSP1;Argentina;2070-2075;Male;91.4
SSP1;Argentina;2075-2080;Male;93.1
SSP1;Argentina;2080-2085;Male;94.6
SSP1;Argentina;2085-2090;Male;96.1
SSP1;Argentina;2090-2095;Male;97.4
SSP1;Argentina;2095-2100;Male;98.6
SSP1;Armenia;2020-2025;Male;69.2
SSP1;Armenia;2025-2030;Male;73.3
SSP1;Armenia;2030-2035;Male;75
SSP1;Armenia;2035-2040;Male;76.6
SSP1;Armenia;2040-2045;Male;78.3
SSP1;Armenia;2045-2050;Male;80
SSP1;Armenia;2050-2055;Male;81.7
SSP1;Armenia;2055-2060;Male;83.3
