Scenario;Area;Year;Age;Years
SSP2;Afghanistan;2020;25+;2.72
SSP2;Afghanistan;2025;25+;3.51
SSP2;Afghanistan;2030;25+;4.31
SSP2;Afghanistan;2035;25+;5.09
SSP2;Afghanistan;2040;25+;5.84
SSP2;Afghanistan;2045;25+;6.58
SSP2;Afghanistan;2050;25+;7.28
SSP2;Afghanistan;2055;25+;7.94
SSP2;Afghanistan;2060;25+;8.56
SSP2;Afghanistan;2065;25+;9.13
SSP2;Afghanistan;2070;25+;9.65
SSP2;Afghanistan;2075;25+;10.13
SSP2;Afghanistan;2080;25+;10.57
SSP2;Afghanistan;2085;25+;10.97
SSP2;Afghanistan;2090;25+;11.33
SSP2;Afghanistan;2095;25+;11.65
SSP2;Afghanistan;2100;25+;11.95
SSP2;Albania;2020;25+;10.13
SSP2;Albania;2025;25+;10.51
SSP2;Albania;2030;25+;10.78
SSP2;Albania;2035;25+;11.01
SSP2;Albania;2040;25+;11.23
SSP2;Albania;2045;25+;11.43
SSP2;Albania;2050;25+;11.65
SSP2;Albania;2055;25+;11.86
SSP2;Albania;2060;25+;12.06
SSP2;Albania;2065;25+;12.26
SSP2;Albania;2070;25+;12.48
SSP2;Albania;2075;25+;12.7
SSP2;Albania;2080;25+;12.93
SSP2;Albania;2085;25+;13.15
SSP2;Albania;2090;25+;13.36
SSP2;Albania;2095;25+;13.54
SSP2;Albania;2100;25+;13.71
SSP2;Algeria;2020;25+;8.71
SSP2;Algeria;2025;25+;9.19
SSP2;Algeria;2030;25+;9.62
SSP2;Algeria;2035;25+;10.08
SSP2;Algeria;2040;25+;10.56
SSP2;Algeria;2045;25+;11.01
SSP2;Algeria;2050;25+;11.41
SSP2;Algeria;2055;25+;11.75
SSP2;Algeria;2060;25+;12.07
SSP2;Algeria;2065;25+;12.37
SSP2;Algeria;2070;25+;12.66
SSP2;Algeria;2075;25+;12.93
SSP2;Algeria;2080;25+;13.17
SSP2;Algeria;2085;25+;13.39
SSP2;Algeria;2090;25+;13.58
SSP2;Algeria;2095;25+;13.75
SSP2;Algeria;2100;25+;13.92
SSP2;Angola;2020;25+;3.14
SSP2;Angola;2025;25+;3.81
SSP2;Angola;2030;25+;4.69
SSP2;Angola;2035;25+;5.59
SSP2;Angola;2040;25+;6.44
SSP2;Angola;2045;25+;7.21
SSP2;Angola;2050;25+;7.88
SSP2;Angola;2055;25+;8.46
SSP2;Angola;2060;25+;8.97
SSP2;Angola;2065;25+;9.41
SSP2;Angola;2070;25+;9.79
SSP2;Angola;2075;25+;10.11
SSP2;Angola;2080;25+;10.38
SSP2;Angola;2085;25+;10.61
SSP2;Angola;2090;25+;10.81
SSP2;Angola;2095;25+;10.97
SSP2;Angola;2100;25+;11.12
SSP2;Antigua and Barbuda;2020;25+;10.44
SSP2;Antigua and Barbuda;2025;25+;10.74
SSP2;Antigua and Barbuda;2030;25+;11
SSP2;Antigua and Barbuda;2035;25+;11.26
SSP2;Antigua and Barbuda;2040;25+;11.5
SSP2;Antigua and Barbuda;2045;25+;11.72
SSP2;Antigua and Barbuda;2050;25+;11.95
SSP2;Antigua and Barbuda;2055;25+;12.16
SSP2;Antigua and Barbuda;2060;25+;12.38
SSP2;Antigua and Barbuda;2065;25+;12.59
SSP2;Antigua and Barbuda;2070;25+;12.78
SSP2;Antigua and Barbuda;2075;25+;12.97
SSP2;Antigua and Barbuda;2080;25+;13.14
SSP2;Antigua and Barbuda;2085;25+;13.31
SSP2;Antigua and Barbuda;2090;25+;13.48
SSP2;Antigua and Barbuda;2095;25+;13.63
SSP2;Antigua and Barbuda;2100;25+;13.78
SSP2;Argentina;2020;25+;9.88
SSP2;Argentina;2025;25+;10.14
SSP2;Argentina;2030;25+;10.37
SSP2;Argentina;2035;25+;10.6
SSP2;Argentina;2040;25+;10.82
SSP2;Argentina;2045;25+;11.01
SSP2;Argentina;2050;25+;11.18
SSP2;Argentina;2055;25+;11.34
SSP2;Argentina;2060;25+;11.49
SSP2;Argentina;2065;25+;11.63
SSP2;Argentina;2070;25+;11.78
SSP2;Argentina;2075;25+;11.92
SSP2;Argentina;2080;25+;12.05
SSP2;Argentina;2085;25+;12.18
SSP2;Argentina;2090;25+;12.31
SSP2;Argentina;2095;25+;12.43
SSP2;Argentina;2100;25+;12.54
SSP2;Armenia;2020;25+;11.02
SSP2;Armenia;2025;25+;11.27
SSP2;Armenia;2030;25+;11.47
SSP2;Armenia;2035;25+;11.68
SSP2;Armenia;2040;25+;11.92
SSP2;Armenia;2045;25+;12.15
SSP2;Armenia;2050;25+;12.38
SSP2;Armenia;2055;25+;12.59
SSP2;Armenia;2060;25+;12.8
SSP2;Armenia;2065;25+;13.02
SSP2;Armenia;2070;25+;13.24
SSP2;Armenia;2075;25+;13.47
SSP2;Armenia;2080;25+;13.69
SSP2;Armenia;2085;25+;13.9
SSP2;Armenia;2090;25+;14.07
SSP2;Armenia;2095;25+;14.21
SSP2;Armenia;2100;25+;14.32
SSP2;Aruba;2020;25+;9.14
SSP2;Aruba;2025;25+;9.42
SSP2;Aruba;2030;25+;9.73
SSP2;Aruba;2035;25+;10.05
SSP2;Aruba;2040;25+;10.34
SSP2;Aruba;2045;25+;10.62
SSP2;Aruba;2050;25+;10.88
SSP2;Aruba;2055;25+;11.13
SSP2;Aruba;2060;25+;11.38
SSP2;Aruba;2065;25+;11.61
SSP2;Aruba;2070;25+;11.83
SSP2;Aruba;2075;25+;12.05
SSP2;Aruba;2080;25+;12.25
SSP2;Aruba;2085;25+;12.44
SSP2;Aruba;2090;25+;12.62
SSP2;Aruba;2095;25+;12.79
SSP2;Aruba;2100;25+;12.95
SSP2;Australia;2020;25+;12.92
SSP2;Australia;2025;25+;13.13
SSP2;Australia;2030;25+;13.3
SSP2;Australia;2035;25+;13.46
SSP2;Australia;2040;25+;13.6
SSP2;Australia;2045;25+;13.73
SSP2;Australia;2050;25+;13.84
SSP2;Australia;2055;25+;13.95
SSP2;Australia;2060;25+;14.05
SSP2;Australia;2065;25+;14.14
SSP2;Australia;2070;25+;14.21
SSP2;Australia;2075;25+;14.27
SSP2;Australia;2080;25+;14.32
SSP2;Australia;2085;25+;14.36
SSP2;Australia;2090;25+;14.4
SSP2;Australia;2095;25+;14.44
SSP2;Australia;2100;25+;14.47
SSP2;Austria;2020;25+;11.58
SSP2;Austria;2025;25+;11.77
SSP2;Austria;2030;25+;11.92
SSP2;Austria;2035;25+;12.05
SSP2;Austria;2040;25+;12.17
SSP2;Austria;2045;25+;12.28
SSP2;Austria;2050;25+;12.38
SSP2;Austria;2055;25+;12.47
SSP2;Austria;2060;25+;12.57
SSP2;Austria;2065;25+;12.66
SSP2;Austria;2070;25+;12.75
SSP2;Austria;2075;25+;12.84
SSP2;Austria;2080;25+;12.93
SSP2;Austria;2085;25+;13.01
SSP2;Austria;2090;25+;13.09
SSP2;Austria;2095;25+;13.16
SSP2;Austria;2100;25+;13.23
SSP2;Azerbaijan;2020;25+;11.01
SSP2;Azerbaijan;2025;25+;11.18
SSP2;Azerbaijan;2030;25+;11.31
SSP2;Azerbaijan;2035;25+;11.45
SSP2;Azerbaijan;2040;25+;11.6
SSP2;Azerbaijan;2045;25+;11.74
SSP2;Azerbaijan;2050;25+;11.86
SSP2;Azerbaijan;2055;25+;11.99
SSP2;Azerbaijan;2060;25+;12.11
SSP2;Azerbaijan;2065;25+;12.22
SSP2;Azerbaijan;2070;25+;12.33
SSP2;Azerbaijan;2075;25+;12.43
SSP2;Azerbaijan;2080;25+;12.53
SSP2;Azerbaijan;2085;25+;12.63
SSP2;Azerbaijan;2090;25+;12.73
SSP2;Azerbaijan;2095;25+;12.83
SSP2;Azerbaijan;2100;25+;12.93
SSP2;Bahamas;2020;25+;12.75
SSP2;Bahamas;2025;25+;12.93
