Scenario;Area;Year;Population
SSP2;Afghanistan;2020;38326
SSP2;Afghanistan;2025;44165.1
SSP2;Afghanistan;2030;50402.3
SSP2;Afghanistan;2035;56790.5
SSP2;Afghanistan;2040;63199.3
SSP2;Afghanistan;2045;69513.3
SSP2;Afghanistan;2050;75620.1
SSP2;Afghanistan;2055;81388
SSP2;Afghanistan;2060;86716.6
SSP2;Afghanistan;2065;91547.9
SSP2;Afghanistan;2070;95727.6
SSP2;Afghanistan;2075;99212.8
SSP2;Afghanistan;2080;101865.8
SSP2;Afghanistan;2085;103700.6
SSP2;Afghanistan;2090;104968.9
SSP2;Afghanistan;2095;105775.7
SSP2;Afghanistan;2100;106116.8
SSP2;Albania;2020;2872.1
SSP2;Albania;2025;2792.9
SSP2;Albania;2030;2715.3
SSP2;Albania;2035;2615.5
SSP2;Albania;2040;2503
SSP2;Albania;2045;2385.5
SSP2;Albania;2050;2267.9
SSP2;Albania;2055;2153
SSP2;Albania;2060;2042.3
SSP2;Albania;2065;1943.1
SSP2;Albania;2070;1854
SSP2;Albania;2075;1772.3
SSP2;Albania;2080;1695.6
SSP2;Albania;2085;1622.7
SSP2;Albania;2090;1552.9
SSP2;Albania;2095;1489.1
SSP2;Albania;2100;1434.3
SSP2;Algeria;2020;43091
SSP2;Algeria;2025;46733.6
SSP2;Algeria;2030;49867.7
SSP2;Algeria;2035;52621.9
SSP2;Algeria;2040;55228.1
SSP2;Algeria;2045;57747.1
SSP2;Algeria;2050;60088.8
SSP2;Algeria;2055;61957.6
SSP2;Algeria;2060;63274.3
SSP2;Algeria;2065;64075.2
SSP2;Algeria;2070;64568.8
SSP2;Algeria;2075;64933.2
SSP2;Algeria;2080;65246.5
SSP2;Algeria;2085;65495.4
SSP2;Algeria;2090;65605.3
SSP2;Algeria;2095;65532.9
SSP2;Algeria;2100;65216.8
SSP2;Angola;2020;32899
SSP2;Angola;2025;38359
SSP2;Angola;2030;44109
SSP2;Angola;2035;50164.7
SSP2;Angola;2040;56447.9
SSP2;Angola;2045;62758.7
SSP2;Angola;2050;68996.3
SSP2;Angola;2055;75030.3
SSP2;Angola;2060;80844.8
SSP2;Angola;2065;86255
SSP2;Angola;2070;91113.1
SSP2;Angola;2075;95404.5
SSP2;Angola;2080;98970.7
SSP2;Angola;2085;101727.4
SSP2;Angola;2090;103619.3
SSP2;Angola;2095;104908.8
SSP2;Angola;2100;105655.7
SSP2;Antigua and Barbuda;2020;92.4
SSP2;Antigua and Barbuda;2025;95.5
SSP2;Antigua and Barbuda;2030;98.1
SSP2;Antigua and Barbuda;2035;100.3
SSP2;Antigua and Barbuda;2040;102
SSP2;Antigua and Barbuda;2045;103.1
SSP2;Antigua and Barbuda;2050;103.7
SSP2;Antigua and Barbuda;2055;104
SSP2;Antigua and Barbuda;2060;104.1
SSP2;Antigua and Barbuda;2065;103.8
SSP2;Antigua and Barbuda;2070;103.2
SSP2;Antigua and Barbuda;2075;102.3
SSP2;Antigua and Barbuda;2080;101.1
SSP2;Antigua and Barbuda;2085;99.5
SSP2;Antigua and Barbuda;2090;97.5
SSP2;Antigua and Barbuda;2095;95.1
SSP2;Antigua and Barbuda;2100;92.5
SSP2;Argentina;2020;44908.4
SSP2;Argentina;2025;46046.2
SSP2;Argentina;2030;47225.8
SSP2;Argentina;2035;48320.1
SSP2;Argentina;2040;49298.7
SSP2;Argentina;2045;50120
SSP2;Argentina;2050;50764.3
SSP2;Argentina;2055;51224.5
SSP2;Argentina;2060;51456.3
SSP2;Argentina;2065;51493.5
SSP2;Argentina;2070;51364.5
SSP2;Argentina;2075;51083.1
SSP2;Argentina;2080;50655.9
SSP2;Argentina;2085;50092.9
SSP2;Argentina;2090;49413.4
SSP2;Argentina;2095;48637.9
SSP2;Argentina;2100;47798.2
SSP2;Armenia;2020;2812.5
SSP2;Armenia;2025;2762
SSP2;Armenia;2030;2718.9
SSP2;Armenia;2035;2665.5
SSP2;Armenia;2040;2611.7
SSP2;Armenia;2045;2561.1
SSP2;Armenia;2050;2511.3
SSP2;Armenia;2055;2461
SSP2;Armenia;2060;2410.3
SSP2;Armenia;2065;2364.2
SSP2;Armenia;2070;2321.9
SSP2;Armenia;2075;2281.9
SSP2;Armenia;2080;2243.1
SSP2;Armenia;2085;2206.4
SSP2;Armenia;2090;2175.4
SSP2;Armenia;2095;2152.3
SSP2;Armenia;2100;2135.2
SSP2;Aruba;2020;106.7
SSP2;Aruba;2025;108.8
SSP2;Aruba;2030;111.1
SSP2;Aruba;2035;113.3
SSP2;Aruba;2040;115.4
SSP2;Aruba;2045;117.4
SSP2;Aruba;2050;119.3
SSP2;Aruba;2055;121.1
SSP2;Aruba;2060;123.2
SSP2;Aruba;2065;125.2
SSP2;Aruba;2070;127
SSP2;Aruba;2075;128.5
SSP2;Aruba;2080;129.4
SSP2;Aruba;2085;129.9
SSP2;Aruba;2090;129.7
SSP2;Aruba;2095;128.9
SSP2;Aruba;2100;127.5
SSP2;Australia;2020;25544.2
SSP2;Australia;2025;26566.3
SSP2;Australia;2030;27552.5
SSP2;Australia;2035;28470.4
SSP2;Australia;2040;29339
SSP2;Australia;2045;30196.6
SSP2;Australia;2050;31068.8
SSP2;Australia;2055;31882.2
SSP2;Australia;2060;32636.7
SSP2;Australia;2065;33290.3
SSP2;Australia;2070;33855
SSP2;Australia;2075;34329.3
SSP2;Australia;2080;34697.3
SSP2;Australia;2085;34930.6
SSP2;Australia;2090;35026.8
SSP2;Australia;2095;35013.5
SSP2;Australia;2100;34921.5
SSP2;Austria;2020;8901.1
SSP2;Austria;2025;9044.8
SSP2;Austria;2030;9105.8
SSP2;Austria;2035;9151.7
SSP2;Austria;2040;9189.6
SSP2;Austria;2045;9230
SSP2;Austria;2050;9265.9
SSP2;Austria;2055;9280.7
SSP2;Austria;2060;9277.2
SSP2;Austria;2065;9256.7
SSP2;Austria;2070;9233.6
SSP2;Austria;2075;9203.6
SSP2;Austria;2080;9152.4
SSP2;Austria;2085;9072.7
SSP2;Austria;2090;8969.1
SSP2;Austria;2095;8850.1
SSP2;Austria;2100;8721.1
SSP2;Azerbaijan;2020;10273.5
SSP2;Azerbaijan;2025;10492.2
SSP2;Azerbaijan;2030;10728.6
SSP2;Azerbaijan;2035;10942.5
SSP2;Azerbaijan;2040;11101.5
SSP2;Azerbaijan;2045;11172
SSP2;Azerbaijan;2050;11165.3
SSP2;Azerbaijan;2055;11110.9
SSP2;Azerbaijan;2060;11032.8
SSP2;Azerbaijan;2065;10931.9
SSP2;Azerbaijan;2070;10801.3
SSP2;Azerbaijan;2075;10639.2
SSP2;Azerbaijan;2080;10450.9
SSP2;Azerbaijan;2085;10254.5
SSP2;Azerbaijan;2090;10059.1
SSP2;Azerbaijan;2095;9868.5
SSP2;Azerbaijan;2100;9673.5
SSP2;Bahamas;2020;405.8
SSP2;Bahamas;2025;415.5
SSP2;Bahamas;2030;425.3
SSP2;Bahamas;2035;433.9
SSP2;Bahamas;2040;440.4
SSP2;Bahamas;2045;444.8
SSP2;Bahamas;2050;447.2
SSP2;Bahamas;2055;447.9
SSP2;Bahamas;2060;447.2
SSP2;Bahamas;2065;445.3
SSP2;Bahamas;2070;442.4
SSP2;Bahamas;2075;438.4
SSP2;Bahamas;2080;433.3
SSP2;Bahamas;2085;426.8
SSP2;Bahamas;2090;419
SSP2;Bahamas;2095;410.3
SSP2;Bahamas;2100;400.9
SSP2;Bahrain;2020;1494
SSP2;Bahrain;2025;1624.1
SSP2;Bahrain;2030;1744.2
SSP2;Bahrain;2035;1856
SSP2;Bahrain;2040;1962.2
SSP2;Bahrain;2045;2061
SSP2;Bahrain;2050;2149
SSP2;Bahrain;2055;2220.7
SSP2;Bahrain;2060;2274.2
SSP2;Bahrain;2065;2302.5
SSP2;Bahrain;2070;2306.9
SSP2;Bahrain;2075;2290.4
SSP2;Bahrain;2080;2257.7
SSP2;Bahrain;2085;2215.6
SSP2;Bahrain;2090;2170.6
SSP2;Bahrain;2095;2124.6
SSP2;Bahrain;2100;2074
SSP2;Bangladesh;2020;166427
SSP2;Bangladesh;2025;175528
SSP2;Bangladesh;2030;183373.4
SSP2;Bangladesh;2035;189547.8
SSP2;Bangladesh;2040;194161.5
SSP2;Bangladesh;2045;197348.9
SSP2;Bangladesh;2050;199283.4
SSP2;Bangladesh;2055;200108.8
SSP2;Bangladesh;2060;199771.7
SSP2;Bangladesh;2065;198396.6
SSP2;Bangladesh;2070;196092.2
SSP2;Bangladesh;2075;193032.8
SSP2;Bangladesh;2080;189393.6
SSP2;Bangladesh;2085;185262.6
SSP2;Bangladesh;2090;180753.9
SSP2;Bangladesh;2095;176005.1
SSP2;Bangladesh;2100;171297.3
SSP2;Barbados;2020;280.4
SSP2;Barbados;2025;282.6
SSP2;Barbados;2030;284
SSP2;Barbados;2035;284.6
SSP2;Barbados;2040;283.9
SSP2;Barbados;2045;282.4
SSP2;Barbados;2050;280.2
SSP2;Barbados;2055;277.9
SSP2;Barbados;2060;275.9
SSP2;Barbados;2065;274
SSP2;Barbados;2070;272.1
SSP2;Barbados;2075;270.1
SSP2;Barbados;2080;268
SSP2;Barbados;2085;265.5
SSP2;Barbados;2090;262.8
SSP2;Barbados;2095;259.8
SSP2;Barbados;2100;256.3
SSP2;Belarus;2020;9661
SSP2;Belarus;2025;9393.6
SSP2;Belarus;2030;9216.8
SSP2;Belarus;2035;9048.7
SSP2;Belarus;2040;8899.9
SSP2;Belarus;2045;8772.2
SSP2;Belarus;2050;8651.7
SSP2;Belarus;2055;8522.4
SSP2;Belarus;2060;8386.8
SSP2;Belarus;2065;8246.5
SSP2;Belarus;2070;8107.9
SSP2;Belarus;2075;7972
SSP2;Belarus;2080;7836.7
SSP2;Belarus;2085;7702.5
SSP2;Belarus;2090;7570.7
SSP2;Belarus;2095;7437.8
SSP2;Belarus;2100;7293.7
SSP2;Belgium;2020;11541.3
SSP2;Belgium;2025;11693.1
SSP2;Belgium;2030;11812.4
SSP2;Belgium;2035;11938.7
SSP2;Belgium;2040;12073.3
SSP2;Belgium;2045;12209.3
SSP2;Belgium;2050;12342.7
SSP2;Belgium;2055;12444.5
SSP2;Belgium;2060;12529.4
SSP2;Belgium;2065;12600.8
SSP2;Belgium;2070;12667.8
SSP2;Belgium;2075;12728
SSP2;Belgium;2080;12766.7
SSP2;Belgium;2085;12771.9
SSP2;Belgium;2090;12742.3
SSP2;Belgium;2095;12686
SSP2;Belgium;2100;12607.8
